"country","%.of.GDP","Yt","health.expend"
"Albania",6.7293272,36797517325.3688,2476225342.30076
"Argentina",9.85558891,267331484520.562,26347092141.3469
"Armenia",9.95,34917903541.0584,3474331402.33531
"Australia",10.09288597,1213031183344.52,122429854115.504
"Austria",10.35,503363803588.665,52098153671.4268
"Burundi",7.06148243,8953061611.49949,632218872.643111
"Belgium",10.79354668,619047980401.781,66817232736.2635
"Benin",2.79549599,33061284986.9713,924226896.053255
"Bangladesh",2.38938212,770620289377.626,18413063407.4813
"Bulgaria",7.46,145428610624.372,10848974352.5782
"Bahrain",4.86051178,71758061306.2946,3487809022.89207
"Belize",4.76508141,4402247718.53709,209770687.65816
"Bolivia",6.83333063,100547096820.383,6870715564.60299
"Brazil",9.16901493,2731715129272.36,250471368048.051
"Brunei Darussalam",2.54828691,31038702027.2505,790955180.794329
"Botswana",5.76837635,33208553949.2352,1915594372.18467
"Canada",11.0319252,1760628038782.39,194231168288.7
"Switzerland",10.9900341,645362173980.014,70925522988.9049
"Chile",8.55767059,418188326926.43,35787179464.1962
"China",4.97955608,19511106403751,971566485203.252
"Cote d'Ivoire",3.32101274,126006653094.028,4184697002.50027
"Cameroon",3.5937767,104642298453.615,3760610540.17048
"Congo, Dem. Rep.",4.20027828,63487594859.5129,2666655657.37852
"Congo, Rep.",2.77497125,32674216467.7568,906700113.143017
"Colombia",7.53117037,689895672149.883,51957218444.8643
"Costa Rica",7.31724358,99875212762.4135,7308112593.86904
"Cyprus",6.65,33624540741.8626,2236031959.33386
"Czechia",7.44554329,410066234759.577,30531659026.6973
"Germany",11.241889,4619764596973.01,519348808053.003
"Denmark",10.25,340914649120.636,34943751534.8652
"Dominican Republic",4.57663107,164209674380.144,7515270977.6275
"Algeria",6.58904791,535567392527.076,35288792083.9468
"Ecuador",7.41604376,219685961395.269,16292007031.6499
"Egypt, Arab Rep.",5.07462406,910381233681.992,46198425122.1512
"Spain",8.94727325,1924139453208.46,172158014589.617
"Estonia",6.70240974,43889652542.5349,2941664346.86302
"Finland",9.38,277870312503.51,26064235312.8292
"Fiji",3.27979708,11540818326.9908,378515422.496749
"France",11.47060013,3273062679800.72,375439932004.203
"Gabon",3.1076982,35227983917.4637,1094779422.09931
"United Kingdom",9.72899723,3145611610386.15,306036466441.027
"Ghana",3.39035821,113108488690.653,3834782932.53048
"Gambia, The",3.19523716,4539135694.15777,145036150.442553
"Greece",8.44874668,336100244890.431,28396258281.6522
"Guatemala",6.07008219,158963605793.179,9649221523.83356
"Honduras",7.709445,48942946479.1995,3773229540.19332
"Croatia",6.73,118178671363.336,7953424582.75251
"Haiti",4.80760574,20346557438.3495,978182263.298487
"Hungary",6.99,256040712624.062,17897245812.4219
"Indonesia",3.02147198,2689879428435.84,81273953225.9731
"India",3.5,7720322536172.97,270211288766.054
"Ireland",7.46859169,370974520126.478,27706572182.1835
"Iraq",4.58949184,407192657636.444,18688073795.3037
"Iceland",8.1,17866355068.5278,1447174760.55075
"Israel",7.1,337799197014.387,23983742988.0215
"Italy",8.73,2780818755155.23,242765477325.052
"Jamaica",5.70102215,23071258868.625,1315297578.38415
"Jordan",6.97644138,89123121432.4712,6217622322.76257
"Japan",10.66,5511773866821.31,587555094203.152
"Kazakhstan",3.42,404741357480.233,13842154425.824
"Kenya",4.75429106,192996026111.063,9175592815.55353
"Kyrgyz Republic",6.41,25426454535.5985,1629835735.73186
"Cambodia",6.11648464,77103127970.2,4716000979.25683
"Korea, Rep.",6.87049913,2151007429661.11,147784946741.102
"Kuwait",4.73096323,189651088654.559,8972323269.54189
"Lao PDR",2.36087489,43432236744.7619,1025380771.47244
"Sri Lanka",3.62,243382848446.242,8810459113.75396
"Lesotho",9.24261093,5122635686.13123,473465285.830446
"Lithuania",6.64,93007228618.838,6175679980.29084
"Luxembourg",5.07,70055120270.4872,3551794597.7137
"Latvia",6.13,52292809777.3154,3205549239.34943
"Morocco",5.09203386,277117310924.826,14110907304.2136
"Moldova",7.54,28410853619.1221,2142178362.88181
"Maldives",10.31,8431295998.70539,869266617.466526
"Mexico",5.55345821,2225190352896.1,123575016341.036
"Mali",3.77377558,41589361625.104,1569489172.88607
"Malta",8.97,20085831070.1824,1801699046.99536
"Mongolia",4.58008575,30471729567.2093,1395631343.68629
"Mozambique",7.28134441,35872805695.8172,2612022532.24255
"Mauritania",3.09630585,19031347945.4357,589268739.76838
"Mauritius",5.54289532,27358424881.6025,1516448852.38806
"Malaysia",3.70085335,856183992507.666,31686113968.8837
"Namibia",9.3223238,25807827327.5404,2405889229.2182
"Niger",4.53239059,29053374400.9642,1316812407.42677
"Nicaragua",8.04877567,37478787803.2685,3016583554.1204
"Netherlands",10.06,995945105924.065,100192077655.961
"Norway",10.53,361881639019.695,38106136588.7739
"Nepal",5.42,86930771044.3988,4711647790.60641
"New Zealand",9.24379444,193145132792.542,17853939046.2076
"Pakistan",2.57026362,783683665263.962,20142736144.1622
"Panama",7.35213518,121326114454.536,8920059943.33901
"Peru",4.95967245,387118519930.732,19199810581.8523
"Philippines",3.95,799137041954.39,31565913157.1984
"Poland",6.59,1102277340457.64,72640076736.1585
"Portugal",9.39,351983384876.681,33051239839.9204
"Paraguay",6.67556572,79550729128.2894,5310461203.69814
"Qatar",3.54971433,266303583332.108,9453016458.84333
"Romania",5.08,480604648009.887,24414716118.9023
"Russian Federation",5.29,3808142106102.6,201450717412.828
"Rwanda",6.96060848,24678081288.7812,1717744618.8882
"Saudi Arabia",6.24143076,1391529756099.99,86851366231.7778
"Sudan",5.68438482,10042269728.1821,570841256.012239
"Senegal",4.25606871,53458977504.3969,2275250814.25058
"Singapore",4.38810682,559233645780.271,24539769750.2187
"Sierra Leone",15.78850651,12766151753.4109,2015584700.66376
"El Salvador",8.71456337,56882328337.3053,4957046549.28594
"Serbia",8.45890999,119045507231.098,10069952303.8175
"Slovak Republic",7.09,169593783561.154,12024199254.4858
"Slovenia",8.46,75996452004.2824,6429299839.56229
"Sweden",10.85,541498620528.385,58752600327.3298
"Togo",6.59755707,17638088246.1134,1163682938.09429
"Thailand",3.93900609,1333636101881.01,52532007271.5316
"Tajikistan",6.96,23646480709.9011,1645795057.40912
"Tunisia",6.24778175,113729524204.869,7105572457.63364
"Turkiye",4.28,1069494505725.77,45774364845.063
"Tanzania",3.96350336,145776048193.533,5777838568.2259
"Uganda",4.96169233,87455544197.3171,4339275028.59804
"Ukraine",7.55,398853530689.578,30113441567.0631
"Uruguay",8.67535782,69240087782.8686,6006825370.04596
"United States",16.80215836,19141671999725.1,3216214042145.59
"Viet Nam",4.86994743,826605938098.938,40255274638.6766
"South Africa",8.07959366,680581104417.304,54988187763.6585
"Zambia",4.46923161,36928209840.928,1650407227.21788
"Zimbabwe",7.46644735,970074810.067752,72430124.9493212
